"","Regime","Mean_Num_Clust","SD_Num_Clust","Mean_Cluster","SD_Cluster","RMSE_Cluster","TTest_Cluster","Wilcox_Cluster","Mean_Random","SD_Random","RMSE_Random","TTest_Random","Wilcox_Random"
"27","nn50_md0.2_eps1.5_minPts5",3.03333333333333,1.61584870109301,0.00307151935876046,0.139251306999144,0.13920781320835,0.508319305498177,0.634041901723787,-0.00204792288472186,0.116574077506973,0.116527293253662,0.598304857845159,0.290094337830719
"26","nn50_md0.2_eps1_minPts5",3.75,2.15152109316598,-0.00852952431662158,0.128238699783664,0.128458054411354,0.0356872369821858,0.00123901375760612,0.00115968057247838,0.134348656095991,0.134286472484886,0.78493745749054,0.112429038086161
"24","nn50_md0.1_eps1.5_minPts5",4.31,1.99880758051261,0.00340764587851703,0.172716854429422,0.172664103804536,0.53283121197283,0.400685429890956,0.00185532577702542,0.140569606864418,0.14051155394978,0.676492190189743,0.823001289057747
"18","nn20_md0.2_eps1.5_minPts5",4.95,2.28675383043891,-0.00751110886232269,0.17758944543791,0.177659477304632,0.181370817926561,0.0303456099193962,0.000531543702720563,0.134478546051791,0.134412340979403,0.900554175114772,0.657888548547278
"21","nn50_md0.05_eps1.5_minPts5",4.97,2.36452186594912,0.00080163553154899,0.127158619847235,0.127097552715926,0.842024183377116,0.134149239936003,-0.0014043894362602,0.138800984253744,0.138738674587395,0.749065936450448,0.267374988322122
"23","nn50_md0.1_eps1_minPts5",5.14,2.32856337737833,0.00151871124829467,0.149628304055498,0.149561182226558,0.748301930123887,0.624205333739875,0.00381134822043755,0.132645253555809,0.132633686908159,0.363764781961444,0.757853380824445
"17","nn20_md0.2_eps1_minPts5",5.78,2.87303871371124,-0.0100963412867711,0.127225352968072,0.127561907538229,0.0122468673366141,0.0450835853617878,-0.000319359930957908,0.147711429882884,0.147637901103659,0.945504690874111,0.85654247294974
"20","nn50_md0.05_eps1_minPts5",6.09,2.62758470852353,-0.0052290083114534,0.123000673901674,0.123050311427509,0.179140924480277,0.919132607381511,-0.00461382949108525,0.119352766626092,0.11938226518614,0.22182801658469,0.0255575754608597
"15","nn20_md0.1_eps1.5_minPts5",6.38,2.8667646304645,-0.00848450709086868,0.134439887672975,0.134640247232021,0.0462361349809087,0.0965960580035095,0.00587791399458863,0.1357224090012,0.135781816182108,0.171141316352164,0.674440140179351
"25","nn50_md0.2_eps0.5_minPts5",6.39,3.27436617143047,0.00128362215216624,0.133083046438523,0.133022681667219,0.760421860188847,0.279893657886566,-0.00237765539363647,0.130695915178671,0.130652187380529,0.565224666676612,0.369782781059998
"9","nn10_md0.2_eps1.5_minPts5",6.66,3.41002581984809,-0.0096070644629741,0.168938886296959,0.169127474537844,0.0724319838212696,0.217112184205964,-0.00895133708667676,0.197960951022404,0.198064322953944,0.153055815638245,0.261796976068075
"12","nn20_md0.05_eps1.5_minPts5",7.53,3.03185818512098,-0.00426215485309351,0.13079173344335,0.13079578366129,0.303023734002431,0.0717311023206271,0.000688892985130514,0.131120798227608,0.131057032003866,0.868078596198693,0.866090155738171
"14","nn20_md0.1_eps1_minPts5",8.42,3.69163144344586,0.00289472873118542,0.144766698128536,0.144723249495645,0.527320312080674,0.550173200365829,0.00224030139483538,0.130813495533601,0.13076726422712,0.588236120816821,0.398908546279106
"22","nn50_md0.1_eps0.5_minPts5",8.45,4.12227660257402,-0.0068376035005144,0.154603002467892,0.154676886137992,0.162250601911933,0.0186800659925492,-0.0082175862900423,0.162466973840302,0.162593514002469,0.110029877137574,0.0131571170612898
"8","nn10_md0.2_eps1_minPts5",8.89,4.47711754672308,-0.0227904082206625,0.194584569983524,0.195818013542324,0.000224056773872999,0.00822487413874847,0.00308354809815992,0.131723642565488,0.1316938691116,0.459313378203712,0.555666129593067
"11","nn20_md0.05_eps1_minPts5",9.53,3.68966636422498,-0.0128669437164888,0.141899892050429,0.142411383060353,0.004225149321845,0.0112522306251027,0.00348947219935316,0.147744354935374,0.147711686866966,0.455313796704998,0.397930230455925
"6","nn10_md0.1_eps1.5_minPts5",9.66,4.41711485412643,-0.0129619749541073,0.145318544930132,0.145823094247177,0.00488744160814306,0.00445513532872776,-0.00907363249437792,0.122723292478171,0.12299705816323,0.0195811089291678,0.0632991110983894
"19","nn50_md0.05_eps0.5_minPts5",10.03,3.41657591705483,-0.00251077296634048,0.140862335976547,0.140814272998022,0.573116158749884,0.124906961646221,0.00170990613864326,0.135726815390589,0.135669710793007,0.690429083805442,0.724363459575487
"3","nn10_md0.05_eps1.5_minPts5",10.13,4.34504236239921,-0.0121644046961763,0.147434417927231,0.147861906600598,0.00921353037968791,0.524898668112188,-0.00345199314135518,0.13369979981125,0.133677511533342,0.414427164040569,0.0394063313578228
"16","nn20_md0.2_eps0.5_minPts5",11.28,5.50560658795199,-0.00968751158358567,0.120428878013982,0.120757854509465,0.0111153307882371,0.00389184471935504,-0.00804868354235555,0.109398836563199,0.109639950030566,0.0201885356589112,0.025876994980467
"5","nn10_md0.1_eps1_minPts5",11.85,4.92905655606063,-0.018049881360081,0.162481278074265,0.163400011554574,0.000463011702027043,0.000297132019983468,-0.00582501314916338,0.153349808334088,0.153383761626103,0.229960106142973,0.40877111283532
"13","nn20_md0.1_eps0.5_minPts5",13.27,5.01851523511235,-0.00649476558798565,0.131433718763426,0.13152843641433,0.118455906478074,0.677962059523417,0.00561088000381572,0.117741617987026,0.117816414357312,0.132137709573279,0.930697034499699
"2","nn10_md0.05_eps1_minPts5",14.15,5.23990956194916,-0.0127511618212933,0.150425094582158,0.150889606993868,0.00747039217234005,0.0377515662853222,-0.000761428483432108,0.128799156952932,0.128736993060618,0.851740956840626,0.184124512343243
