"type","sim_ind","est","ci_low","ci_upp","sig"
"full",37,0.0085643202190988,0.00827995813243825,0.00892877881300852,0.2
"full",37,0.102180953538759,0.0992061705224198,0.105563765322071,0.65
"full",37,0.146610539522726,0.142175587172312,0.15114601602702,0.4
"full",37,1.32294025320899,1.27385474119702,1.37522923655586,0.16
"full",37,0.342933203541061,0.330690878057996,0.355804959605305,0.54
"full",37,0.390064143853151,0.377752983786193,0.403432146814789,0.84
"full",37,7.23483494005813,6.95489073732837,7.51413500946148,0.56
"full",37,0.000416396496463006,0.000403138136470777,0.000430773045115944,0.95
"full",37,0.291194331944311,0.279436862533214,0.302897663067637,0.83
"full",37,2.75944171527516,2.67678961768634,2.84997668620652,0.85
"clst",37,0.00912555821772791,0.00770841312826871,0.0104748102172569,0.42
"clst",37,0.109246033651199,0.0964637249277181,0.129957040850733,0.51
"clst",37,0.146156949646161,0.128718209112961,0.168223841990656,0.96
"clst",37,1.22383683690332,1.04896597160041,1.39088850199789,0.33
"clst",37,0.353344017152668,0.306753711503001,0.42592919490199,0.67
"clst",37,0.368566721614715,0.315088109771659,0.437997500586803,0.47
"clst",37,7.52223115309681,6.5752668735165,8.45562016870127,0.56
"clst",37,0.000427137539592347,0.000371300121078072,0.00048978457259945,0.74
"clst",37,0.280033345717669,0.239346328383631,0.318241943354668,0.63
"clst",37,2.98081781270625,2.54244411335899,3.44145697653186,0.32
"rndm",37,0.00792580959451618,0.00681621086109355,0.00913468326280232,0.25
"rndm",37,0.10459474343829,0.0893415793616971,0.11922244965473,0.81
"rndm",37,0.13272039545609,0.118073067844577,0.149385616906501,0.25
"rndm",37,1.42703915009549,1.20982160673501,1.62741724979696,0.28
"rndm",37,0.331197694651331,0.292653307856048,0.404642044202555,0.65
"rndm",37,0.360295108168582,0.310501861211082,0.412829279742518,0.26
"rndm",37,7.96969158046097,7.09856429462332,9.32088303429892,0.29
"rndm",37,0.000430683883395649,0.000376180442677434,0.00050308479876741,0.63
"rndm",37,0.275257360400501,0.241561846591731,0.308794496333178,0.41
"rndm",37,3.03438515956896,2.53844444812578,3.37072949351518,0.2
