"type","sim_ind","est","ci_low","ci_upp","sig","num_clusters"
"full",24,0.700946141542844,0.677498439528923,0.721069268506143,0.88,21
"full",24,0.92077139449104,0.896406138600951,0.949386710762277,1,21
"full",24,3.14788980113755e-05,3.04611233393204e-05,3.24688113914111e-05,0.81,21
"full",24,3.45659233849125,3.33471522630917,3.58907050877987,0.42,21
"full",24,0.246227503718655,0.238686664831763,0.254026485206489,0.53,21
"full",24,0.841993999135113,0.816445246673289,0.87045535853958,0.3,21
"full",24,2.08051767462499,2.0159094045557,2.16646804804107,0.87,21
"full",24,0.0646982530421882,0.0629027181238846,0.0665704264512283,0.87,21
"full",24,0.177733153461453,0.172216930599578,0.18386163593163,0.64,21
"full",24,0.101558220889359,0.0980983447953485,0.104411340403147,0.05,21
"clst",24,0.74648152040855,0.646580323760656,0.861091169967067,0.43,21
"clst",24,0.888422943472876,0.763890321120366,1.02556024437432,0.69,21
"clst",24,3.13541532125239e-05,2.59607390870033e-05,3.57454986717017e-05,0.95,21
"clst",24,3.80384076281456,3.27167726774693,4.30100298838079,0.2,21
"clst",24,0.233444541152307,0.201737684777055,0.26712290966108,0.49,21
"clst",24,0.900711865564588,0.792521077871813,1.04997350822227,0.38,21
"clst",24,2.00358551447629,1.701962772817,2.28856026349393,0.59,21
"clst",24,0.0622876376562614,0.0532694770577923,0.073751253969391,0.62,21
"clst",24,0.158099078277335,0.136976673889284,0.183449576310851,0.14,21
"clst",24,0.0873491245263888,0.0750966337890967,0.102678008747566,0.04,21
"rndm",24,0.733782582707565,0.634782565608441,0.816264983591527,0.52,21
"rndm",24,0.892291321302571,0.759354437960409,1.05554626206636,0.74,21
"rndm",24,3.21839222245137e-05,2.76425674400268e-05,3.72723572168084e-05,0.8,21
"rndm",24,3.50550094930208,2.95828134765599,4.15918363657305,0.85,21
"rndm",24,0.248764478876711,0.220682436670395,0.29051139429357,0.86,21
"rndm",24,0.797249452768193,0.687205924492504,0.90293739513432,0.49,21
"rndm",24,2.05108944243402,1.80056535919936,2.33686710320969,0.88,21
"rndm",24,0.0614176149559633,0.0515519848008772,0.0702828127096046,0.5,21
"rndm",24,0.165857913539863,0.139464107393581,0.195869501728344,0.45,21
"rndm",24,0.105648703573382,0.0891077864752438,0.123403745495838,0.64,21
