"type","sim_ind","est","ci_low","ci_upp","sig"
"full",75,0.0491571127640677,0.0473043950396499,0.0508536426784845,0.92
"full",75,0.720336386599084,0.697889395234222,0.741910249352085,0.61
"full",75,0.150630828826324,0.146940863694545,0.156115599031813,0.35
"full",75,0.0104686332814833,0.0101076465197849,0.0107964786862151,0.65
"full",75,0.14522797783267,0.140679543909914,0.15101685136853,0.2
"full",75,0.656602347343858,0.636864515698921,0.674586259644194,0.08
"full",75,0.0475395595366538,0.0458849157107774,0.0490658642410722,0.04
"full",75,0.118725845472831,0.115233355397396,0.123006036862015,0.77
"full",75,0.389678054517793,0.377848514321809,0.404052094867265,0.62
"full",75,2.3856434724992,2.29124417589655,2.46377095465964,0.77
"clst",75,0.0478152956097816,0.0409270420203848,0.0565330279717293,0.69
"clst",75,0.717205337273998,0.624166722398535,0.858740196284332,0.96
"clst",75,0.14823819020855,0.131003259870895,0.172866358034318,0.8
"clst",75,0.0101468472683869,0.00805547582799619,0.0117119575871621,0.69
"clst",75,0.140351699552729,0.123050359859711,0.159414475759668,0.66
"clst",75,0.824353778695926,0.709753903561787,0.942159650457044,0
"clst",75,0.0382175138615555,0.0318584818973059,0.0441759763425641,0.01
"clst",75,0.11389939200017,0.0962475543638484,0.134086223540857,0.71
"clst",75,0.405249950156835,0.347480627723171,0.461441783392944,0.61
"clst",75,2.47175268540296,2.16246429339095,2.90335600771006,0.7
"rndm",75,0.0484427934095406,0.0415203522926228,0.0553819169485689,0.89
"rndm",75,0.687601045532326,0.572553697416331,0.820400592560502,0.61
"rndm",75,0.132886654407452,0.114817411913521,0.157326644407837,0.1
"rndm",75,0.0106369153668826,0.00901442742609077,0.0126177935202226,0.85
"rndm",75,0.162351889705253,0.138657307711524,0.186389596008078,0.19
"rndm",75,0.671517274657363,0.544473371595825,0.780528224455294,0.77
"rndm",75,0.0482518726927924,0.0392864944986961,0.055710314625555,0.84
"rndm",75,0.118397476489473,0.101691818798578,0.139001741090752,0.96
"rndm",75,0.429082050690833,0.364536214792298,0.507252443909703,0.28
"rndm",75,2.38525443048911,1.993589326149,2.79360550216509,1
