"type","sim_ind","est","ci_low","ci_upp"
"rndm",19,0.556691800670412,0.538234053947816,0.575562579372168
"rndm",19,0.0097529104270503,0.00940240179261527,0.0101877805355043
"rndm",19,0.710829465475542,0.688619540886292,0.736628845307252
"rndm",19,7.17646181461094,6.96669006503232,7.41262933114079
"rndm",19,2.13283715958397,2.06789580099171,2.21024785728067
"rndm",19,3.91511427400646,3.78324284052686,4.06656156377056
"rndm",19,0.391921610000797,0.379008006299355,0.404766578816955
"rndm",19,1.22763223968173,1.18457807879288,1.27417919029233
"rndm",19,2.36945662075762,2.29706300822422,2.4352824130425
"rndm",19,0.793109999388074,0.765180779375363,0.826040713084379
"clst",19,0.601115006065521,0.510545793150895,0.6755853978686
"clst",19,0.010372556310173,0.00892335486836122,0.0123915302869914
"clst",19,0.757235172084621,0.638057960068156,0.879373106286711
"clst",19,6.94455177815778,6.09400617771062,8.10838205137488
"clst",19,2.28261571855354,1.9516837373189,2.58045043661017
"clst",19,3.90342365182653,3.4601476625118,4.59482969747227
"clst",19,0.427701223335839,0.374625197523206,0.50418334622201
"clst",19,1.22105903650791,1.02479911517785,1.45620177526229
"clst",19,2.17086611923591,1.8533647809697,2.44169861617695
"clst",19,0.740896279494752,0.627242604480056,0.84086572075101
"rndm",19,0.517303712501374,0.428633628924263,0.597433833222554
"rndm",19,0.00931604168477926,0.00786604922342404,0.0110489038559687
"rndm",19,0.753384399397635,0.636794748244079,0.865910048858061
"rndm",19,6.63670738244674,5.67739267443787,7.5404830452956
"rndm",19,2.12027946420812,1.8656758300353,2.45696912058909
"rndm",19,3.89563449528664,3.35384166122057,4.51005326890703
"rndm",19,0.37276307822141,0.318512696246378,0.436530882024772
"rndm",19,1.03642571816012,0.899767909709603,1.18676857094301
"rndm",19,2.3221850103187,1.99106616701555,2.80034287606348
"rndm",19,0.75487205046815,0.646079291429568,0.888610631747314
