"type","sim_ind","est","ci_low","ci_upp","sig"
"full",31,3.76854266579927,3.64828725853317,3.90231543758932,0.07
"full",31,0.770011777246645,0.737329867681579,0.799446566944293,0.19
"full",31,0.0531878604774445,0.0515813551092335,0.0553276539013963,0.9
"full",31,0.0330516629323861,0.0318057095727234,0.0340676339954958,0.87
"full",31,3.18112947273238,3.09353058485717,3.29577867551055,0
"full",31,0.90044722450432,0.871316714327932,0.930162017164251,0.83
"full",31,0.0683703979112093,0.0664184489908833,0.0708621000597075,0.68
"full",31,0.114094202126294,0.111073752125756,0.117786609302786,0.36
"full",31,0.24772442682387,0.240452875685567,0.255685356358509,0.21
"full",31,1.65816578459207,1.59308983665954,1.70842091102607,0.98
"clst",31,4.17433390622909,3.4955917424165,5.00544121887476,0.13
"clst",31,0.732310181802351,0.614146154396403,0.824069238775138,0.65
"clst",31,0.0525527694298967,0.0445203153126467,0.0596839280649221,0.89
"clst",31,0.0303796389546715,0.0256804405492902,0.035973308522219,0.26
"clst",31,2.86456710180126,2.37584823754468,3.25375071892693,0.13
"clst",31,0.891431722068492,0.758370932403337,1.02300588770742,0.93
"clst",31,0.0671196610876056,0.0564310375672726,0.0783354405584152,0.88
"clst",31,0.115068202381138,0.100826122698487,0.131523983276914,0.91
"clst",31,0.252811743533973,0.213519801019084,0.294447722515295,0.76
"clst",31,1.6369171803479,1.38849063845642,1.90726334717513,0.87
"rndm",31,3.39632095432843,2.91758429074759,3.89541483869463,0.15
"rndm",31,0.849710836613188,0.767632808344523,0.970537489450034,0.2
"rndm",31,0.0533139946391118,0.0447003826386391,0.0600803277658992,0.99
"rndm",31,0.0299741333679462,0.0254002437045012,0.0349488072241672,0.22
"rndm",31,3.74933952751059,3.27501821283965,4.20062065597651,0.05
"rndm",31,0.869998873797684,0.734063527289844,1.02379305775554,0.74
"rndm",31,0.0696997508830243,0.0604512520556574,0.0800056531466826,0.82
"rndm",31,0.10385464278801,0.0881915943060994,0.121221548255745,0.21
"rndm",31,0.291310580856717,0.250864332924233,0.343449853219448,0.02
"rndm",31,1.63042016234884,1.39955387728025,1.9301104381674,0.83
