"type","sim_ind","est","ci_low","ci_upp","sig","num_clusters"
"full",21,0.13310763083697,0.129528815168991,0.137863351380728,0.18,20
"full",21,0.0014072357580196,0.00136134532628221,0.00145459506155316,0.98,20
"full",21,0.914594177629873,0.878648008781445,0.943813216811511,0.31,20
"full",21,0.812947648071322,0.782426472033434,0.837135057143282,0.59,20
"full",21,1.23051459991371,1.19575474418264,1.27758369172977,0,20
"full",21,5.26647124573524,5.06425158084639,5.43941206481523,0.08,20
"full",21,0.0378090094590706,0.0364973349547018,0.0387687267541064,0.67,20
"full",21,1.12388622582026,1.08245023640059,1.17686165730226,0.18,20
"full",21,0.219026602450102,0.211094095712283,0.226052908096636,0.36,20
"full",21,0.967686816242831,0.934444158855611,1.00340089387733,0.13,20
"clst",21,0.15361820465358,0.127587022158058,0.184920748256058,0.08,20
"clst",21,0.00156247322237686,0.00135121813627222,0.0018178197592857,0.21,20
"clst",21,0.780386541119851,0.6575488263001,0.876038075025522,0.06,20
"clst",21,0.775668463184554,0.668070438549893,0.910205237595203,0.67,20
"clst",21,1.39092834622199,1.20379141015113,1.67986825639553,0.07,20
"clst",21,4.40272071834266,3.76797277225852,5.18746797156049,0.03,20
"clst",21,0.0382142779573584,0.0326859946732185,0.0465244847618654,0.85,20
"clst",21,1.08054773484016,0.925919357465145,1.2535196190568,0.64,20
"clst",21,0.239781565075044,0.206131663526326,0.280377951191357,0.24,20
"clst",21,1.13545306191425,0.910746138726722,1.3159063560666,0.04,20
"rndm",21,0.134487990257894,0.114615892665542,0.161451295036097,0.93,20
"rndm",21,0.0015576339250688,0.00131168232412632,0.00179842981958874,0.27,20
"rndm",21,0.873733457711771,0.771517853682189,1.00084352743714,0.6,20
"rndm",21,0.747366043557061,0.638226485425602,0.872365503544255,0.23,20
"rndm",21,1.05186172110414,0.896069012657532,1.19105576655222,0.03,20
"rndm",21,5.46459850495973,4.58880274805597,6.40857578418725,0.68,20
"rndm",21,0.0361650563583142,0.0308524364166933,0.0408741177714202,0.58,20
"rndm",21,1.2306155339375,1.06762609463333,1.45867138966733,0.34,20
"rndm",21,0.213634707298157,0.16994397714025,0.254858342511391,0.82,20
"rndm",21,0.967097374189192,0.840587686200181,1.13832764291785,1,20
