"type","sim_ind","est","ci_low","ci_upp","sig"
"full",93,0.0271604253201986,0.0262974915703727,0.0282954830942804,0.85
"full",93,0.312055511033435,0.30362776780931,0.32597776083523,0.73
"full",93,1.08367994145946,1.04110726096371,1.12492491202928,0.24
"full",93,0.00207935472002235,0.00200843013584151,0.0021575239946187,0.24
"full",93,3.50235662063401,3.38203022937859,3.62321017490675,0.33
"full",93,1.32358192706607,1.27359616442983,1.36676558152553,0.69
"full",93,1.28779940290428,1.23469289871164,1.33678832330548,0.24
"full",93,0.425982705675044,0.413808662053323,0.440607480515823,0.15
"full",93,0.368292767398772,0.356342110785134,0.378690508942273,0.88
"full",93,1.95578948988193,1.88896808275005,2.02718326180741,0.69
"clst",93,0.0272352057754215,0.0230463220665229,0.0326282655788435,0.98
"clst",93,0.290187690724677,0.248989502755723,0.332735407309792,0.3
"clst",93,1.06794995953013,0.848812982448289,1.22828543675191,0.84
"clst",93,0.00237072667698938,0.00196885682880939,0.0027235028631959,0.11
"clst",93,3.89131292653827,3.28135036174765,4.49965284771591,0.16
"clst",93,1.15307557527734,0.989500103527937,1.36070989454832,0.14
"clst",93,1.24326502994262,1.05715337351792,1.43511376276416,0.61
"clst",93,0.372247169277534,0.305491837498508,0.440596730818646,0.13
"clst",93,0.37693787964802,0.327951611781454,0.447181084461051,0.82
"clst",93,1.76255675393519,1.48153718886508,2.03104864726479,0.18
"rndm",93,0.0266182005936687,0.0218597348442991,0.0319219848482157,0.86
"rndm",93,0.30321847619767,0.252058476014097,0.374420739821659,0.73
"rndm",93,1.22324698944719,1.00350375457796,1.41862761492869,0.14
"rndm",93,0.00205805929736872,0.00170989207390503,0.00236327741639069,0.93
"rndm",93,3.48050719067452,2.89246339743323,4.13868592069743,0.97
"rndm",93,1.20507711652604,1.06837332436946,1.42090462223253,0.29
"rndm",93,1.09729705738353,0.922886584028153,1.29600578588017,0.03
"rndm",93,0.443020411823299,0.377106947363605,0.541503421512076,0.61
"rndm",93,0.371055216412225,0.301018183954924,0.431806636251544,0.94
"rndm",93,1.83928834313842,1.56745185989732,2.21525297643181,0.51
