"type","sim_ind","est","ci_low","ci_upp","sig"
"full",14,0.16090982728743,0.154448788226136,0.166099316392747,0.22
"full",14,0.13088076525007,0.125871591530983,0.135329260306179,0.01
"full",14,4.95787266199468,4.7430141074839,5.10154816506315,0.79
"full",14,0.358655296982385,0.344975826408371,0.370349643630678,0.19
"full",14,0.620839490617256,0.602919115581113,0.640707987480418,0.61
"full",14,7.29539777227034,7.04274004337181,7.54132093114623,0.14
"full",14,0.327306689847582,0.318826314252685,0.336539577047757,0.75
"full",14,0.969419592404131,0.938744087093163,1.00110172684379,0.53
"full",14,0.552984803203301,0.534466420452152,0.570115847848259,0.21
"full",14,0.661242291031614,0.632897465842996,0.681824571352007,0.49
"clst",14,0.150438172098678,0.125897231855135,0.173838002051718,0.42
"clst",14,0.114881839321083,0.0965269016388991,0.131326147511507,0.09
"clst",14,5.17927278843281,4.21923414433506,6.06617991216512,0.59
"clst",14,0.355030914621177,0.312768110997405,0.400645399644485,0.91
"clst",14,0.658620452625831,0.556140994597652,0.764930381572458,0.48
"clst",14,7.92526015478108,6.65487403324977,9.30268531262895,0.28
"clst",14,0.319901325312881,0.267524257648797,0.369604841078967,0.8
"clst",14,0.857416602347951,0.740310218664578,1.02071531464089,0.11
"clst",14,0.592146556803494,0.504720699361941,0.680960645244627,0.43
"clst",14,0.670041932429288,0.571472739944425,0.779608185155979,0.86
"rndm",14,0.171703932029976,0.144164487205587,0.197520978015053,0.39
"rndm",14,0.14294226780841,0.127225949048056,0.166028557755901,0.26
"rndm",14,5.30311978785769,4.70829402390264,6.23123193144335,0.47
"rndm",14,0.418238462075104,0.366496847654817,0.496133254550164,0.04
"rndm",14,0.623155864395589,0.552861231073301,0.71059898403468,0.94
"rndm",14,6.76702913067653,5.93854001284156,7.73291164902465,0.4
"rndm",14,0.330984135378301,0.273808159520903,0.36796132571627,0.9
"rndm",14,0.923459957589194,0.789173108178659,1.07271802268166,0.54
"rndm",14,0.51433542155144,0.445598612563763,0.581850636209933,0.39
"rndm",14,0.719869038194337,0.5989584437091,0.825722428887306,0.31
