"type","sim_ind","est","ci_low","ci_upp","sig"
"full",20,3.87358712262467,3.72932891923753,4.04004190697862,0.61
"full",20,5.406114464068,5.20967249144776,5.59373567377098,0.33
"full",20,0.209130185194569,0.202390208136492,0.215622563399563,0.82
"full",20,1.21832411016279,1.17657818482737,1.25401607215207,0.8
"full",20,4.58262935100789,4.42734622651744,4.71890743278956,0.23
"full",20,1.70631179512775,1.64921873118506,1.76602236517743,0.64
"full",20,0.330812686936869,0.319708714600889,0.343438211204413,0.74
"full",20,0.849578092603524,0.820352506717804,0.874205692605409,0.4
"full",20,0.977539392482647,0.947358126811778,1.00877489147419,0.36
"full",20,0.189681831163833,0.183143830229043,0.195531625117594,0.62
"clst",20,4.45023585425251,3.86129178271567,5.40486051674873,0.11
"clst",20,5.21433840103817,4.54961115818879,6.27059138014836,0.66
"clst",20,0.205885189762366,0.173114876381951,0.241977667964038,0.87
"clst",20,1.1926018912012,0.995296501792649,1.36228464836375,0.85
"clst",20,4.09179552782123,3.53631931512236,4.68044086933087,0.21
"clst",20,1.59523721380957,1.33182887155942,1.94623577686897,0.36
"clst",20,0.320086945569563,0.270809152603173,0.37861955998261,0.69
"clst",20,0.787472038073761,0.666953621299231,0.894841517034183,0.3
"clst",20,1.06191705702176,0.921474611439205,1.24991450183045,0.29
"clst",20,0.183350374143472,0.153497376826933,0.222171112844242,0.64
"rndm",20,4.17020622409393,3.46919874333394,4.77588856929992,0.36
"rndm",20,5.84278435869132,4.98032770265283,7.14721826347083,0.37
"rndm",20,0.199624310386161,0.16863219769239,0.230533762422008,0.61
"rndm",20,1.22991630454737,1.0463923211266,1.4381992334436,0.9
"rndm",20,4.77507026815341,4.02559153660087,5.44457120040153,0.7
"rndm",20,1.69961046500989,1.4474689177951,1.98226148469509,0.95
"rndm",20,0.310984423533317,0.268590952431842,0.356164761314017,0.46
"rndm",20,0.876583619617743,0.7571950872566,1.01250898125164,0.75
"rndm",20,0.957475078052739,0.802066321826318,1.09303640972701,0.85
"rndm",20,0.192630252596263,0.162165047357331,0.230001532550797,0.9
