"type","sim_ind","est","ci_low","ci_upp","sig"
"full",94,0.606985905132883,0.588615209115518,0.628257493798936,0.42
"full",94,0.382500889358843,0.367948969209649,0.397105650458687,0.96
"full",94,2.72938661795406,2.63273878769145,2.82462434169661,0.57
"full",94,0.364085267509103,0.35292513863122,0.378404417678726,0.29
"full",94,0.0308786243184338,0.0295367833602938,0.0319636121003745,0.69
"full",94,0.402599154973265,0.388794920328241,0.415701364655275,0.04
"full",94,0.272247752037892,0.262509373481923,0.281886706206284,0.57
"full",94,0.0448720983105156,0.0436236188898899,0.0461999566508382,0.48
"full",94,2.70214189255908,2.61401791410646,2.76990430591545,0.89
"full",94,0.175019624992463,0.169122593979143,0.181514578587962,0.82
"clst",94,0.556443263469309,0.463362212405531,0.653316168040392,0.3
"clst",94,0.376771231763498,0.324281855878962,0.444868678672088,0.94
"clst",94,2.61108081069195,2.19609665533048,2.99480226190979,0.65
"clst",94,0.391791078692091,0.318505538793337,0.450501044880072,0.47
"clst",94,0.0301575058825655,0.0259107675312982,0.0368879973624633,0.79
"clst",94,0.344218441857855,0.290661349765232,0.409860433112486,0.08
"clst",94,0.283296369557457,0.22742243423322,0.339029566582043,0.63
"clst",94,0.0450569847869381,0.036917035826941,0.0556223808239778,0.95
"clst",94,2.55611469541662,2.20324685189746,2.99725055816678,0.59
"clst",94,0.197543895335292,0.165862579169371,0.228720647588682,0.16
"rndm",94,0.606189782623019,0.498259417488157,0.734693372794851,1
"rndm",94,0.382992723766135,0.325133122490213,0.439968655675399,0.98
"rndm",94,2.80250442308386,2.33222402583689,3.3577771815043,0.79
"rndm",94,0.353658119896123,0.29373500185127,0.404249446762646,0.69
"rndm",94,0.0285038424832274,0.0224261073200849,0.0340020800472359,0.38
"rndm",94,0.438022814654764,0.370521516917182,0.534312843633542,0.38
"rndm",94,0.306107945367105,0.257241643620204,0.353860888588684,0.18
"rndm",94,0.0418034395673913,0.0349772121504386,0.0484965519373404,0.47
"rndm",94,2.59538244476627,2.15201419267003,2.99376492153242,0.67
"rndm",94,0.191781393825194,0.156918350306205,0.220883850385022,0.26
