"type","sim_ind","est","ci_low","ci_upp","sig","num_clusters"
"full",22,0.00228299791547258,0.0021961353114955,0.00236343176192299,0.1,23
"full",22,2.5124651423608,2.43317657770134,2.58742803033487,0.92,23
"full",22,5.7114967759982,5.56407821802764,5.87734113210638,0.48,23
"full",22,2.00733659539362,1.94744796016767,2.06990104267356,0.87,23
"full",22,3.14439791278771,3.0224154515243,3.24241561287279,0.72,23
"full",22,0.606159423662541,0.582205059431587,0.627077002398946,0.09,23
"full",22,0.101764908765555,0.0977994630985025,0.105369591056316,0.47,23
"full",22,0.632421413906312,0.610135925478744,0.649880794747424,0.7,23
"full",22,0.0200348498501584,0.0193224292937722,0.0206257664957454,0.65,23
"full",22,2.71012438164273,2.62608313766318,2.80540721733229,0.13,23
"clst",22,0.00226274671583969,0.0019532888017194,0.00274670983029584,0.92,23
"clst",22,2.51592252744981,2.10840135143325,2.99302896172355,1,23
"clst",22,5.9750041845109,5.17457419798287,6.89127478909486,0.57,23
"clst",22,2.00573707416822,1.71867808205566,2.28588881625159,0.98,23
"clst",22,3.01312225084956,2.65096218941042,3.53798860211827,0.62,23
"clst",22,0.541218682481059,0.447894749343089,0.637940804654773,0.14,23
"clst",22,0.0914046488635074,0.0791612697696873,0.105943621742779,0.16,23
"clst",22,0.632428251711657,0.533948106899774,0.718504880148349,1,23
"clst",22,0.0200465673346852,0.0178388622703412,0.0237150125394982,0.99,23
"clst",22,2.56966749476344,2.18851706837721,3.00641849671868,0.46,23
"rndm",22,0.00273052330981638,0.00231071607010301,0.00325048411370357,0.02,23
"rndm",22,2.47552770426137,2.06239757285604,2.76594277531667,0.86,23
"rndm",22,5.5462075529038,4.64159573680006,6.48554963772735,0.69,23
"rndm",22,1.96178254843547,1.68054959126905,2.22357305764673,0.85,23
"rndm",22,2.87257888237446,2.4461096383147,3.32933853556362,0.22,23
"rndm",22,0.674532802781421,0.565195104811276,0.792969479384693,0.11,23
"rndm",22,0.0984982516759258,0.0831230967063624,0.114918885243959,0.67,23
"rndm",22,0.663394251718807,0.568198317985786,0.752637173103389,0.56,23
"rndm",22,0.0212317289523708,0.017522148162603,0.0247015094945983,0.5,23
"rndm",22,3.06018695701086,2.58946181249153,3.57584813082065,0.17,23
