"type","sim_ind","est","ci_low","ci_upp","sig"
"full",95,1.27901336496361,1.23297654829774,1.32104515207674,0.56
"full",95,1.24891991229221,1.20519108165215,1.29112878572258,0.71
"full",95,1.66437523280194,1.61640022413928,1.72427487404395,0.53
"full",95,0.00967350870196463,0.00939155053171918,0.0100599382499964,0.31
"full",95,0.869558407546214,0.83988799648233,0.899562747784465,0.63
"full",95,5.04305087318237,4.83417098779136,5.18586636391264,0.76
"full",95,0.806792264707969,0.775314510688168,0.836939746790542,0.4
"full",95,0.156870387467994,0.151548116591685,0.161582658469902,0.5
"full",95,0.610419543397102,0.586330422177784,0.630788810727747,0.14
"full",95,0.26662479824037,0.257920451899125,0.276325857457054,0.84
"clst",95,1.33252234015165,1.10128960987656,1.56539487009874,0.62
"clst",95,1.20871363494032,0.994862040122743,1.33543954806068,0.72
"clst",95,1.624246460237,1.32853573653477,1.84375319295808,0.83
"clst",95,0.00957346128308837,0.00832469511269631,0.0109146515464913,0.8
"clst",95,0.948926078905982,0.787916550732524,1.09814342892145,0.24
"clst",95,5.33734971117366,4.57818659091695,6.14032258401738,0.48
"clst",95,0.699831169788893,0.624747311049577,0.821755567191926,0.08
"clst",95,0.180648256323981,0.15804436341231,0.211928696032651,0.08
"clst",95,0.660515774903912,0.564450916743342,0.758192120489237,0.34
"clst",95,0.2829125763255,0.228314848425102,0.328036001947014,0.48
"rndm",95,1.41921490926715,1.19167554155019,1.60227504471999,0.24
"rndm",95,1.25805785289455,1.11039297561915,1.47922201121777,0.94
"rndm",95,1.74157306725294,1.49430267326834,2.02995631056991,0.54
"rndm",95,0.00869259640715989,0.00749173671896326,0.00989450551101614,0.15
"rndm",95,0.906430059679588,0.787809817008918,1.06109257915716,0.65
"rndm",95,5.19092699258471,4.48658013630074,5.98532071548268,0.68
"rndm",95,0.773411376665188,0.648383595664227,0.913157362874409,0.62
"rndm",95,0.164611228829917,0.136867517751348,0.193495990892823,0.52
"rndm",95,0.561207179411847,0.485876880425988,0.650881046339063,0.28
"rndm",95,0.29084931716662,0.256212596457834,0.351493248547246,0.18
