"type","sim_ind","est","ci_low","ci_upp","sig"
"full",21,4.60389429833825,4.42238364228515,4.78191674111519,0.28
"full",21,0.342849724521196,0.331380224657706,0.352701693359169,0.57
"full",21,0.0724667078843506,0.0699549745120271,0.075170975620583,0.34
"full",21,0.00626841360691265,0.00603547521364629,0.00647935577715885,0.82
"full",21,0.00729582575137714,0.00709105835165558,0.0076257299661627,0.73
"full",21,1.40967387724806,1.36267078650076,1.46255942759038,0.04
"full",21,0.00824575355273964,0.00796246296732365,0.00856612119546866,0.11
"full",21,0.230303311376253,0.221571861464293,0.236898072531732,0.34
"full",21,0.00301952626707836,0.00290840368302096,0.00311042088883073,0.97
"full",21,0.88870441723817,0.86160369758374,0.918388018160059,0.3
"clst",21,4.6161167900514,3.95490478267847,5.37023279243399,0.99
"clst",21,0.321187530233127,0.279516982316609,0.365146882451134,0.47
"clst",21,0.0723317120573911,0.062786096085697,0.0826909926096209,1
"clst",21,0.00637890742116043,0.00554041901939032,0.00755984558885584,0.82
"clst",21,0.0065951213414029,0.00569249517975283,0.00762235841622774,0.18
"clst",21,1.29463394863345,1.0963702401972,1.4855494643509,0.28
"clst",21,0.00727634352208256,0.00625925112634454,0.00826044859193661,0.14
"clst",21,0.242937393548736,0.206230818396943,0.282943396639746,0.47
"clst",21,0.00294837238691087,0.00257426743016181,0.00346426706006679,0.77
"clst",21,0.97081890960827,0.821314781644299,1.10208261554621,0.25
"rndm",21,4.16930590635144,3.4554941916898,4.71047851294484,0.15
"rndm",21,0.340644434962695,0.278507070910053,0.395353020072285,0.96
"rndm",21,0.0792019711783714,0.069060638491638,0.0939594347890376,0.35
"rndm",21,0.00652995474883435,0.00558838886546502,0.00777675932032139,0.63
"rndm",21,0.00681631822916868,0.00583585311492344,0.00770075088869159,0.38
"rndm",21,1.60344905867046,1.33610436608631,1.82022109162666,0.12
"rndm",21,0.0088785343420155,0.00764490221159116,0.010347382942594,0.26
"rndm",21,0.216871150754885,0.18938010957691,0.244613878662496,0.42
"rndm",21,0.00293016640737974,0.00256304829932655,0.0033054109017444,0.76
"rndm",21,0.874344992276187,0.758302156503576,1.01826384708885,0.87
