"type","sim_ind","est","ci_low","ci_upp","sig"
"full",11,0.383062022012017,0.368100788515474,0.394885107936854,0.74
"full",11,0.410808944557027,0.397359133256224,0.423872701077548,0.54
"full",11,0.250112402934659,0.241342296277522,0.255894134615816,0.67
"full",11,0.42949619002951,0.417205452487042,0.444545192113342,0.55
"full",11,0.0367504153549437,0.0354552425818451,0.0379177608598523,0.96
"full",11,2.00541487526984,1.94855094082041,2.07892894646622,0.39
"full",11,0.266091471512946,0.257049948821987,0.274518068830937,0.4
"full",11,0.168497213131074,0.16160698080528,0.175004422048747,0.19
"full",11,1.91956809164403,1.85282038327951,1.98801846812975,0.35
"full",11,0.097200958524063,0.0941892651621603,0.099851730738087,0.55
"clst",11,0.370086310223118,0.317587636643838,0.42981244355424,0.61
"clst",11,0.380832698697421,0.333856433306313,0.446094211405858,0.23
"clst",11,0.227045619507639,0.189977841306093,0.256897529020249,0.17
"clst",11,0.409301551328224,0.341294291890437,0.479805631563492,0.59
"clst",11,0.0384565040605009,0.0338316410905801,0.0443474597116937,0.55
"clst",11,2.01886007656086,1.72566130484259,2.38227655223604,0.94
"clst",11,0.251760870478679,0.217421766918002,0.294917756157353,0.42
"clst",11,0.184644383598479,0.161059487220364,0.216124554417167,0.24
"clst",11,1.85790061675189,1.60650204413222,2.10592492223353,0.7
"clst",11,0.101523658418359,0.0851427991099876,0.119193595500913,0.5
"rndm",11,0.385010638123134,0.331790395099099,0.435893351854335,0.91
"rndm",11,0.402796234170735,0.341506079841363,0.456318626565613,0.84
"rndm",11,0.237902416181715,0.201316518525261,0.271478734262163,0.53
"rndm",11,0.440214179099387,0.387525021988375,0.488956262949337,0.78
"rndm",11,0.038792697208258,0.0330742407216696,0.0440646528339964,0.5
"rndm",11,1.81828868104456,1.60492879634155,2.09699410221068,0.23
"rndm",11,0.27526635063162,0.237896332911861,0.314698099615002,0.61
"rndm",11,0.160181778894041,0.138259676646986,0.181392407120629,0.49
"rndm",11,2.07323887994005,1.74287426260716,2.36867907249493,0.34
"rndm",11,0.0954222481487204,0.0817198631443555,0.108824308561584,0.79
