"type","sim_ind","est","ci_low","ci_upp","sig","num_clusters"
"full",10,4.73058340847497,4.5768289564498,4.92842375658,0.36,25
"full",10,0.414651631724088,0.400462718416751,0.429619107060392,0.96,25
"full",10,7.80463098413803,7.51040938572234,8.0834204768975,0.42,25
"full",10,0.00228327952078627,0.00219947885813032,0.00235395660383906,0.94,25
"full",10,0.232966571915972,0.225371747317564,0.240980188288834,0.87,25
"full",10,1.4234946966237,1.38164925983868,1.47259553382491,0.79,25
"full",10,1.45596080663347,1.40122954865718,1.50945125270561,0.88,25
"full",10,1.52396928550413,1.46452788474255,1.56454994541756,0.12,25
"full",10,0.270343865481057,0.261114841493487,0.282957933032738,0.83,25
"full",10,0.649755943694152,0.632720679052149,0.669297367473369,0.45,25
"clst",10,4.55646613633865,3.87125434192778,5.25345609700787,0.62,25
"clst",10,0.377258471913683,0.327636483452371,0.438871539846564,0.27,25
"clst",10,7.7379031551862,6.65257794588302,8.94354718345548,0.94,25
"clst",10,0.00227264836272243,0.00196266033655709,0.00268711152155775,0.96,25
"clst",10,0.236781457095308,0.210887720654179,0.279095243219528,0.85,25
"clst",10,1.34156977547983,1.15380977043109,1.54433477183091,0.39,25
"clst",10,1.48156719436559,1.2753113164895,1.74844990874937,0.79,25
"clst",10,1.62253207391786,1.38507160017035,1.853394780575,0.39,25
"clst",10,0.282887649989181,0.250351950573955,0.33781992720165,0.57,25
"clst",10,0.657845315186027,0.553970536436028,0.748300027052044,0.86,25
"rndm",10,4.98370280318683,4.31758654465858,5.55875519615829,0.49,25
"rndm",10,0.380385081747108,0.331280382972268,0.4326074849016,0.18,25
"rndm",10,8.38144140255168,6.99094255399104,9.38277202457889,0.38,25
"rndm",10,0.0022863489600613,0.00195097082906305,0.00261003553981972,0.96,25
"rndm",10,0.242151027342763,0.211448931621437,0.287897832933494,0.59,25
"rndm",10,1.3765164751557,1.19717073933146,1.59470270853566,0.72,25
"rndm",10,1.46005320941127,1.26731257934133,1.65196318032076,0.95,25
"rndm",10,1.37532273473362,1.19123484310427,1.66892447085141,0.2,25
"rndm",10,0.289972379254314,0.249230473970081,0.335913411869646,0.37,25
"rndm",10,0.72364670357494,0.616912401735992,0.817538628186436,0.09,25
