"type","sim_ind","est","ci_low","ci_upp","sig","num_clusters"
"full",25,0.0301128383109459,0.0289624676901823,0.0313929691059927,0.88,21
"full",25,0.841564770098163,0.814658332381276,0.875788321157174,0.05,21
"full",25,0.289547701050477,0.277010081215612,0.299240500902922,0.55,21
"full",25,0.0917065020925021,0.0889657840407327,0.0944695892134938,0.3,21
"full",25,0.56661608777347,0.547768211011493,0.584520474417205,0.81,21
"full",25,1.41315408362011,1.36932853876685,1.4758304218894,0.38,21
"full",25,1.0865749653962,1.05448715113027,1.12691526855673,0.44,21
"full",25,0.287366591016192,0.279148434569574,0.297152070889203,0.19,21
"full",25,0.0556083509363263,0.0536174015162611,0.0578617207685086,0.1,21
"full",25,2.62871615147069,2.56048842321263,2.71432164972616,0.95,21
"clst",25,0.0299436015391253,0.0259378357943056,0.034578858261523,0.94,21
"clst",25,0.738341864763089,0.622175950924,0.845892752244022,0.04,21
"clst",25,0.287693599050538,0.247269477930939,0.327395404771557,0.94,21
"clst",25,0.0880464254189698,0.0741676018674809,0.101156275490819,0.69,21
"clst",25,0.557900597406168,0.489218104022437,0.651258845318379,0.82,21
"clst",25,1.53034479450183,1.28378743946084,1.81809664198583,0.34,21
"clst",25,1.01167904387493,0.918537629172945,1.17900288718616,0.3,21
"clst",25,0.285061891656472,0.243009445308658,0.327087979148858,0.89,21
"clst",25,0.0621202585341055,0.0536687495493762,0.0720319339066925,0.17,21
"clst",25,2.51446463623323,2.14221219533939,2.96217671626592,0.61,21
"rndm",25,0.0305211321143723,0.0258519346478096,0.0348074736376489,0.85,21
"rndm",25,0.957752543032262,0.824184532687358,1.08852176870395,0.11,21
"rndm",25,0.302123236695435,0.265412549709699,0.3436890027816,0.57,21
"rndm",25,0.0996102229256362,0.0870239740095067,0.120019819465561,0.19,21
"rndm",25,0.546522959524146,0.460198234193008,0.635130231229835,0.67,21
"rndm",25,1.37705996343825,1.18700707918715,1.55027377783769,0.65,21
"rndm",25,0.917562019755834,0.775342351606354,1.06510508462285,0.07,21
"rndm",25,0.247557755397587,0.208654094880227,0.288073720950067,0.06,21
"rndm",25,0.0511998677786061,0.044477775231495,0.0586381440159489,0.33,21
"rndm",25,2.50237523957522,2.09887131669606,2.87328165205372,0.49,21
