"type","sim_ind","est","ci_low","ci_upp","sig","num_clusters"
"full",28,2.62016538333372e-05,2.52908419147171e-05,2.70128635412776e-05,0.37,25
"full",28,0.0771124314914323,0.074314151865858,0.0801853742789214,0.59,25
"full",28,0.545908819567417,0.524446567394553,0.567148375774108,0.96,25
"full",28,0.93009782522192,0.904751770960992,0.963395315579206,0.6,25
"full",28,0.384915571218366,0.368039516722471,0.3968864965392,0.97,25
"full",28,0.298288661303065,0.289869814699395,0.308177658328819,0.8,25
"full",28,0.577598589032346,0.557655963416651,0.600130499746577,0.5,25
"full",28,1.02637784615188,0.996041348168036,1.06043597867945,0.92,25
"full",28,0.501108958000025,0.480310519896673,0.514229447723199,0.11,25
"full",28,0.0558298760447574,0.0541809149807618,0.0572901666399191,0.51,25
"clst",28,2.58811722112964e-05,2.2149053804292e-05,3.029072148939e-05,0.91,25
"clst",28,0.0758550163775703,0.0644574563918148,0.0874694008897403,0.83,25
"clst",28,0.513786577565441,0.444526866281494,0.613900019575266,0.37,25
"clst",28,0.85088701945291,0.724921454643391,0.977178307998946,0.27,25
"clst",28,0.400246038199412,0.351259617842854,0.485522476525442,0.59,25
"clst",28,0.323122467084422,0.271075421985076,0.361672105686931,0.37,25
"clst",28,0.565901773283768,0.496390469399901,0.645223165932082,0.79,25
"clst",28,1.06441299745361,0.912401606226672,1.20770646099124,0.6,25
"clst",28,0.42067312401413,0.373543560404212,0.495359331858813,0.03,25
"clst",28,0.0586920308655705,0.047725343892637,0.0699968897884194,0.61,25
"rndm",28,2.87609774945262e-05,2.38816585940005e-05,3.34957783778008e-05,0.15,25
"rndm",28,0.0800706729382325,0.0679886155018791,0.0941948236103441,0.61,25
"rndm",28,0.508863960233265,0.455062447555335,0.592857988836469,0.38,25
"rndm",28,0.904431051509247,0.754503244159755,1.07255902233888,0.69,25
"rndm",28,0.397887696666802,0.334750545045111,0.452663841534545,0.76,25
"rndm",28,0.332099067811106,0.288107620665821,0.398666529305998,0.19,25
"rndm",28,0.602357979658254,0.509242175619645,0.684178547171325,0.6,25
"rndm",28,1.05596965630211,0.90565571980213,1.20260865273127,0.74,25
"rndm",28,0.502286867999266,0.425608500033055,0.58451295632842,0.98,25
"rndm",28,0.0543342570392972,0.0471672288195968,0.0667295201239171,0.75,25
