"type","sim_ind","est","ci_low","ci_upp","sig"
"full",38,0.49400614136531,0.477239230303842,0.512712734959923,0.59
"full",38,0.397826656634308,0.385072991933804,0.411363602383592,0.94
"full",38,0.932878969378295,0.902251070229873,0.970567604872494,0.27
"full",38,0.015680265399529,0.0151199093290778,0.0163914457452307,0.62
"full",38,0.00287866161792105,0.00278115980569046,0.00298240044957518,0.73
"full",38,0.93587806436859,0.913401632195305,0.982304250284953,0.96
"full",38,0.113290344174487,0.110138942615968,0.117334505609577,0.38
"full",38,0.269735230883535,0.260856699355572,0.278799289843539,0.83
"full",38,0.964002542041508,0.933538838170582,0.989932615316281,0.1
"full",38,0.0831013865262747,0.0802473522395112,0.0865074290391084,0.28
"clst",38,0.477764549597114,0.399049378811385,0.544637866534672,0.67
"clst",38,0.378545042740863,0.324657200895447,0.455788927545344,0.56
"clst",38,0.94652841798649,0.801575976703574,1.08392211050316,0.84
"clst",38,0.0153561063325527,0.0124951833823584,0.0181538924260403,0.83
"clst",38,0.00249924699539597,0.00214165722141366,0.00285366290966121,0.07
"clst",38,0.868031105126912,0.707848711270079,1.00749554778525,0.39
"clst",38,0.12665556445785,0.106256073748787,0.14770336730147,0.14
"clst",38,0.267354318893007,0.224413889182727,0.311977141763475,0.95
"clst",38,0.802533658071103,0.686697257246442,0.950926572834559,0.04
"clst",38,0.0805306307019823,0.0671291408778244,0.0943938836916488,0.72
"rndm",38,0.453751821350462,0.384265966817437,0.515460221001716,0.26
"rndm",38,0.376194618546641,0.321179278133992,0.438481657186862,0.58
"rndm",38,0.846476101839443,0.726475460051011,0.979089761169127,0.2
"rndm",38,0.0161199997079004,0.01376626275124,0.0188618426728208,0.67
"rndm",38,0.00239580168355198,0.00205532395597421,0.00293078510145644,0.04
"rndm",38,0.864750319965811,0.764677435890699,1.00717024017966,0.41
"rndm",38,0.115448612922048,0.0972035792038127,0.139822952461558,0.84
"rndm",38,0.25791654507864,0.218656099974683,0.295841687104854,0.58
"rndm",38,0.984358272386884,0.846258771163561,1.11991353726794,0.82
"rndm",38,0.0906195201881108,0.0755392942285686,0.100671615144811,0.36
